scientific_name,park_name,observations
Boykinia major,Great Smoky Mountains National Park,78
Mitella diphylla,Great Smoky Mountains National Park,77
Angelica roseana,Great Smoky Mountains National Park,57
Ensatina eschscholtzii platensis,Great Smoky Mountains National Park,70
Salix orestera,Great Smoky Mountains National Park,76
Carex baileyi,Great Smoky Mountains National Park,70
Tripsacum dactyloides,Great Smoky Mountains National Park,108
Descurainia californica,Great Smoky Mountains National Park,102
Sidalcea reptans,Great Smoky Mountains National Park,63
Aphanorrhegma serratum,Great Smoky Mountains National Park,42
Erigeron gracilis,Great Smoky Mountains National Park,65
Limnanthes striata,Great Smoky Mountains National Park,49
Campostoma oligolepis,Great Smoky Mountains National Park,74
Phacelia egena,Great Smoky Mountains National Park,73
Potentilla drummondii ssp. breweri,Great Smoky Mountains National Park,56
Collinsia torreyi var. torreyi,Great Smoky Mountains National Park,69
Draba verna,Great Smoky Mountains National Park,109
Stellaria calycantha,Great Smoky Mountains National Park,80
Viburnum opulus,Great Smoky Mountains National Park,112
Rana pipiens,Great Smoky Mountains National Park,62
Chenopodium pratericola,Great Smoky Mountains National Park,60
Potentilla gracilis,Great Smoky Mountains National Park,35
Marrubium vulgare,Great Smoky Mountains National Park,56
Torreyochloa erecta,Great Smoky Mountains National Park,61
Cleistes divaricata,Great Smoky Mountains National Park,55
Lemna gibba,Great Smoky Mountains National Park,109
Cleome serrulata,Great Smoky Mountains National Park,79
Cladrastis kentukea,Great Smoky Mountains National Park,67
Pseudotriton ruber nitidus,Great Smoky Mountains National Park,59
Salix babylonica,Great Smoky Mountains National Park,86
Orthocarpus cuspidatus ssp. cryptanthus,Great Smoky Mountains National Park,107
Potamogeton obtusifolius,Great Smoky Mountains National Park,102
Cryptobranchus alleganiensis alleganiensis,Great Smoky Mountains National Park,81
Elymus virginicus var. virginicus,Great Smoky Mountains National Park,80
Veronica hederifolia,Great Smoky Mountains National Park,78
Potamogeton pulcher,Great Smoky Mountains National Park,87
Juncus gymnocarpus,Great Smoky Mountains National Park,60
Passiflora lutea,Great Smoky Mountains National Park,71
Microtus pinetorum,Great Smoky Mountains National Park,94
Gentiana decora,Great Smoky Mountains National Park,112
Botrychium jenmanii,Great Smoky Mountains National Park,66
Triteleia ixioides ssp. anilina,Great Smoky Mountains National Park,68
Erigeron eatonii var. eatonii,Great Smoky Mountains National Park,64
Muscari botryoides,Great Smoky Mountains National Park,85
Brachythecium oedipodium,Great Smoky Mountains National Park,40
Platanthera stricta,Great Smoky Mountains National Park,83
Cyperus esculentus,Great Smoky Mountains National Park,79
Plethodon ventralis,Great Smoky Mountains National Park,174
Pyrola asarifolia ssp. asarifolia,Great Smoky Mountains National Park,36
Tsuga mertensiana,Great Smoky Mountains National Park,75
Epilobium densiflorum,Great Smoky Mountains National Park,87
Prunus virginiana,Great Smoky Mountains National Park,107
Ceanothus cordulatus,Great Smoky Mountains National Park,76
Tsuga canadensis,Great Smoky Mountains National Park,69
Thelypodium paniculatum,Great Smoky Mountains National Park,73
Phacelia tanacetifolia,Great Smoky Mountains National Park,73
Thelia hirtella,Great Smoky Mountains National Park,47
Potentilla wheeleri,Great Smoky Mountains National Park,85
Pinus contorta ssp. murrayana,Great Smoky Mountains National Park,47
Crepis intermedia,Great Smoky Mountains National Park,59
Selaginella densa var. densa,Great Smoky Mountains National Park,38
Bromus grandis,Great Smoky Mountains National Park,111
Lathyrus jepsonii var. californicus,Great Smoky Mountains National Park,63
Andropogon virginicus var. virginicus,Great Smoky Mountains National Park,35
Empidonax wrightii,Great Smoky Mountains National Park,42
Claytonia megarhiza var. megarhiza,Great Smoky Mountains National Park,102
Chaenactis glabriuscula var. megacephala,Great Smoky Mountains National Park,59
Minuartia nuttallii ssp. gracilis,Great Smoky Mountains National Park,69
Cnicus benedictus,Great Smoky Mountains National Park,73
Hypericum graveolens,Great Smoky Mountains National Park,59
Aralia californica,Great Smoky Mountains National Park,102
Lithophragma glabrum,Great Smoky Mountains National Park,108
Taraxacum officinale,Great Smoky Mountains National Park,67
Selasphorus sasin,Great Smoky Mountains National Park,42
Cryphaea glomerata,Great Smoky Mountains National Park,73
Zanthoxylum americanum,Great Smoky Mountains National Park,71
Vireo solitarius,Great Smoky Mountains National Park,81
Plantago aristata,Great Smoky Mountains National Park,83
Campylium radicale,Great Smoky Mountains National Park,60
Thalictrum venulosum,Great Smoky Mountains National Park,68
Scutellaria siphocampyloides,Great Smoky Mountains National Park,76
Adiantum jordanii,Great Smoky Mountains National Park,62
Bignonia capreolata,Great Smoky Mountains National Park,70
Calycanthus floridus,Great Smoky Mountains National Park,92
Heuchera pubescens,Great Smoky Mountains National Park,69
Arabis lemmonii var. depauperata,Great Smoky Mountains National Park,67
Phacelia ramosissima var. ramosissima,Great Smoky Mountains National Park,69
Minuartia californica,Great Smoky Mountains National Park,84
Lewisia disepala,Great Smoky Mountains National Park,40
Staphylea trifolia,Great Smoky Mountains National Park,88
Poa palustris,Great Smoky Mountains National Park,58
Anagallis minima,Great Smoky Mountains National Park,80
Sparganium angustifolium,Great Smoky Mountains National Park,88
Utricularia ochroleuca,Great Smoky Mountains National Park,79
Carex aestivalis,Great Smoky Mountains National Park,81
Neotoma magister,Great Smoky Mountains National Park,105
Triticum aestivum,Great Smoky Mountains National Park,61
Desmodium paniculatum var. paniculatum,Great Smoky Mountains National Park,69
Sphagnum squarrosum,Great Smoky Mountains National Park,75
Myotis volans,Great Smoky Mountains National Park,63
Philonotis fontana,Great Smoky Mountains National Park,56
Rigiopappus leptocladus,Great Smoky Mountains National Park,57
Saxifraga tolmiei,Great Smoky Mountains National Park,89
Mergus serrator,Great Smoky Mountains National Park,64
Calamagrostis canadensis,Great Smoky Mountains National Park,102
Orbexilum pedunculatum,Great Smoky Mountains National Park,90
Acer glabrum var. torreyi,Great Smoky Mountains National Park,75
Populus fremontii ssp. fremontii,Great Smoky Mountains National Park,85
Lysimachia nummularia,Great Smoky Mountains National Park,54
Desmodium nuttallii,Great Smoky Mountains National Park,63
Cyperus bipartitus,Great Smoky Mountains National Park,77
Lilium canadense ssp. editorum,Great Smoky Mountains National Park,54
Dichanthelium scabriusculum,Great Smoky Mountains National Park,94
Erigeron pulchellus,Great Smoky Mountains National Park,84
Polygonum caespitosum,Great Smoky Mountains National Park,58
Carex utriculata,Great Smoky Mountains National Park,49
Lithobates catesbeianus,Great Smoky Mountains National Park,66
Ledum glandulosum,Great Smoky Mountains National Park,69
Sagina saginoides,Great Smoky Mountains National Park,96
Veronica agrestis,Great Smoky Mountains National Park,63
Rorippa curvisiliqua,Great Smoky Mountains National Park,90
Mimulus ringens,Great Smoky Mountains National Park,98
Townsendia leptotes,Great Smoky Mountains National Park,60
Amaranthus albus,Great Smoky Mountains National Park,55
Navarretia divaricata ssp. divaricata,Great Smoky Mountains National Park,131
Lewisia rediviva var. rediviva,Great Smoky Mountains National Park,38
Senecio fremontii var. fremontii,Great Smoky Mountains National Park,45
Allium tribracteatum,Great Smoky Mountains National Park,66
Camissonia luciae,Great Smoky Mountains National Park,58
Bos taurus,Great Smoky Mountains National Park,56
Solidago,Great Smoky Mountains National Park,102
Luzula echinata,Great Smoky Mountains National Park,51
Festuca paradoxa,Great Smoky Mountains National Park,83
Nyssa sylvatica,Great Smoky Mountains National Park,92
Rubus occidentalis,Great Smoky Mountains National Park,77
Progne subis,Great Smoky Mountains National Park,47
Delphinium depauperatum,Great Smoky Mountains National Park,101
Rhus trilobata,Great Smoky Mountains National Park,65
Ranunculus sardous,Great Smoky Mountains National Park,64
Pylodictis olivaris,Great Smoky Mountains National Park,77
Aix sponsa,Great Smoky Mountains National Park,77
Saxifraga micranthidifolia,Great Smoky Mountains National Park,73
Melilotus officinalis,Great Smoky Mountains National Park,80
Rhododendron occidentale,Great Smoky Mountains National Park,78
Ligustrum vulgare,Great Smoky Mountains National Park,99
Elymus riparius,Great Smoky Mountains National Park,72
Andropogon ternarius,Great Smoky Mountains National Park,79
Carex luzulifolia,Great Smoky Mountains National Park,69
Agoseris lackschewitzii,Great Smoky Mountains National Park,46
Arenaria serpyllifolia,Great Smoky Mountains National Park,91
Castilleja miniata ssp. miniata,Great Smoky Mountains National Park,77
Lithophragma heterophyllum,Great Smoky Mountains National Park,60
Eryngium yuccifolium,Great Smoky Mountains National Park,91
Townsendia hookeri,Great Smoky Mountains National Park,57
Vicia caroliniana,Great Smoky Mountains National Park,75
Clarkia biloba ssp. biloba,Great Smoky Mountains National Park,64
Cardaria pubescens,Great Smoky Mountains National Park,67
Notropis rubellus,Great Smoky Mountains National Park,74
Valeriana occidentalis,Great Smoky Mountains National Park,43
Juncus,Great Smoky Mountains National Park,46
Eryngium integrifolium,Great Smoky Mountains National Park,63
Oporornis formosus,Great Smoky Mountains National Park,71
Fritillaria pudica,Great Smoky Mountains National Park,51
Lupinus argenteus var. argenteus,Great Smoky Mountains National Park,95
Dendromecon rigida,Great Smoky Mountains National Park,92
Helianthus atrorubens,Great Smoky Mountains National Park,87
Centaurea nigra,Great Smoky Mountains National Park,61
Lasionycteris noctivagans,Great Smoky Mountains National Park,29
Gaura parviflora,Great Smoky Mountains National Park,52
Hackelia micrantha,Great Smoky Mountains National Park,84
Nemophila spatulata,Great Smoky Mountains National Park,69
Anaphalis margaritacea,Great Smoky Mountains National Park,57
Muhlenbergia filiformis,Great Smoky Mountains National Park,101
Chlorogalum pomeridianum var. pomeridianum,Great Smoky Mountains National Park,70
Loeskeobryum brevirostre,Great Smoky Mountains National Park,69
Euphorbia lathyris,Great Smoky Mountains National Park,82
Phalaris arundinacea,Great Smoky Mountains National Park,80
Oreothlypis ruficapilla,Great Smoky Mountains National Park,42
Cyperus rotundus,Great Smoky Mountains National Park,66
Dryopteris goldiana,Great Smoky Mountains National Park,32
Campylostelium saxicola,Great Smoky Mountains National Park,55
Cemophora coccinea copei,Great Smoky Mountains National Park,66
Funaria hygrometrica,Great Smoky Mountains National Park,71
Vinca major,Great Smoky Mountains National Park,60
Viola sagittata,Great Smoky Mountains National Park,64
Malus pumila,Great Smoky Mountains National Park,102
Notropis spectrunculus,Great Smoky Mountains National Park,59
Helianthus glaucophyllus,Great Smoky Mountains National Park,110
Prenanthes trifoliolata,Great Smoky Mountains National Park,71
Calamagrostis canadensis,Great Smoky Mountains National Park,82
Geranium robertianum,Great Smoky Mountains National Park,86
Lewisia nevadensis,Great Smoky Mountains National Park,43
Pseudoroegneria spicata,Great Smoky Mountains National Park,79
Melilotus indica,Great Smoky Mountains National Park,68
Cardamine bulbosa,Great Smoky Mountains National Park,64
Aira caryophyllea,Great Smoky Mountains National Park,64
Amsinckia lycopsoides,Great Smoky Mountains National Park,74
Aristida purpurascens,Great Smoky Mountains National Park,48
Nassella viridula,Great Smoky Mountains National Park,127
Chenopodium leptophyllum,Great Smoky Mountains National Park,32
Dodecatheon subalpinum,Great Smoky Mountains National Park,71
Procyon lotor,Great Smoky Mountains National Park,63
Senecio integerrimus var. major,Great Smoky Mountains National Park,74
Anas acuta,Great Smoky Mountains National Park,61
Brachyelytrum septentrionale,Great Smoky Mountains National Park,91
Carex incurviformis var. danaensis,Great Smoky Mountains National Park,81
Atriplex hortensis,Great Smoky Mountains National Park,93
Setaria pumila,Great Smoky Mountains National Park,82
Barbarea verna,Great Smoky Mountains National Park,91
Penstemon laevigatus,Great Smoky Mountains National Park,49
Lindernia dubia var. anagallidea,Great Smoky Mountains National Park,70
Heracleum lanatum,Great Smoky Mountains National Park,96
Uvularia grandiflora,Great Smoky Mountains National Park,81
Myotis leibii,Great Smoky Mountains National Park,49
Salix reticulata ssp. nivalis,Great Smoky Mountains National Park,110
Glyceria grandis,Great Smoky Mountains National Park,85
Narcissus poeticus,Great Smoky Mountains National Park,92
Eurycea lucifuga,Great Smoky Mountains National Park,58
Polypodium virginianum,Great Smoky Mountains National Park,88
Aesculus sylvatica,Great Smoky Mountains National Park,69
Medeola virginiana,Great Smoky Mountains National Park,66
Antennaria rosea ssp. confinis,Great Smoky Mountains National Park,43
Ericameria discoidea,Great Smoky Mountains National Park,71
Stellaria nitens,Great Smoky Mountains National Park,55
Juncus interior,Great Smoky Mountains National Park,87
Bromus inermis,Great Smoky Mountains National Park,86
Ammannia coccinea,Great Smoky Mountains National Park,76
Elymus glaucus ssp. jepsonii,Great Smoky Mountains National Park,95
Boehmeria cylindrica,Great Smoky Mountains National Park,125
Sterna paradisaea,Great Smoky Mountains National Park,72
Vitis californica,Great Smoky Mountains National Park,54
Hymenocallis caroliniana,Great Smoky Mountains National Park,42
Potentilla canadensis,Great Smoky Mountains National Park,72
Mentzelia albicaulis,Great Smoky Mountains National Park,105
Chorizanthe membranacea,Great Smoky Mountains National Park,41
Rhododendron canescens,Great Smoky Mountains National Park,111
Plantago erecta,Great Smoky Mountains National Park,84
Stuckenia vaginata,Great Smoky Mountains National Park,44
Veronica persica,Great Smoky Mountains National Park,116
Plethodon aureolus,Great Smoky Mountains National Park,113
Tilia americana var. heterophylla,Great Smoky Mountains National Park,55
Adenocaulon bicolor,Great Smoky Mountains National Park,97
Diphyscium cumberlandianum,Great Smoky Mountains National Park,51
Desmodium nudiflorum,Great Smoky Mountains National Park,98
Sphagnum affine,Great Smoky Mountains National Park,108
Anastrophyllum minutum,Great Smoky Mountains National Park,97
Carex plantaginea,Great Smoky Mountains National Park,102
Polygonum hydropiperoides,Great Smoky Mountains National Park,38
Arabis hirsuta var. pycnocarpa,Great Smoky Mountains National Park,92
Melica imperfecta,Great Smoky Mountains National Park,80
Acalypha gracilens,Great Smoky Mountains National Park,98
Cacalia muhlenbergii,Great Smoky Mountains National Park,115
Zonotrichia leucophrys gambelii,Great Smoky Mountains National Park,87
Aquila chrysaetos,Great Smoky Mountains National Park,65
Viola canadensis var. corymbosa,Great Smoky Mountains National Park,75
Campylium hispidulum,Great Smoky Mountains National Park,88
Astragalus whitneyi var. whitneyi,Great Smoky Mountains National Park,61
Tradescantia subaspera var. montana,Great Smoky Mountains National Park,60
Polygonum hydropiper,Great Smoky Mountains National Park,35
Trichophorum caespitosum,Great Smoky Mountains National Park,111
Viburnum prunifolium,Great Smoky Mountains National Park,94
Etheostoma zonale,Great Smoky Mountains National Park,73
Calycadenia mollis,Great Smoky Mountains National Park,55
Carex debilis var. debilis,Great Smoky Mountains National Park,90
Nemophila maculata,Great Smoky Mountains National Park,83
Arrhenatherum elatius var. elatius,Great Smoky Mountains National Park,58
Aristida oligantha,Great Smoky Mountains National Park,115
Astragalus vexilliflexus var. vexilliflexus,Great Smoky Mountains National Park,53
Haemorhous purpureus,Great Smoky Mountains National Park,74
Ambystoma mavortium melanostictum,Great Smoky Mountains National Park,79
Urocyon cinereoargenteus,Great Smoky Mountains National Park,71
Campostoma anomalum,Great Smoky Mountains National Park,60
Vicia cracca ssp. cracca,Great Smoky Mountains National Park,91
Euphorbia mercurialina,Great Smoky Mountains National Park,90
Silene drummondii var. drummondii,Great Smoky Mountains National Park,59
Agrimonia pubescens,Great Smoky Mountains National Park,93
Ranunculus gmelinii,Great Smoky Mountains National Park,77
Bulbostylis capillaris,Great Smoky Mountains National Park,72
Cerastium glomeratum,Great Smoky Mountains National Park,57
Eragrostis hirsuta,Great Smoky Mountains National Park,84
Euphorbia dentata var. dentata,Great Smoky Mountains National Park,41
Aimophila ruficeps,Great Smoky Mountains National Park,51
Eptesicus fuscus,Great Smoky Mountains National Park,87
Calidris alpina,Great Smoky Mountains National Park,56
Hazardia whitneyi var. whitneyi,Great Smoky Mountains National Park,87
Digitaria ischaemum,Great Smoky Mountains National Park,23
Eriogonum nudum var. deductum,Great Smoky Mountains National Park,62
Dendroica magnolia,Great Smoky Mountains National Park,80
Oxalis corniculata,Great Smoky Mountains National Park,91
Hypnum pallescens,Great Smoky Mountains National Park,96
Malacothrix floccifera,Great Smoky Mountains National Park,66
Mimulus rubellus,Great Smoky Mountains National Park,102
Potentilla pseudosericea,Great Smoky Mountains National Park,83
Juncus coriaceus,Great Smoky Mountains National Park,82
Lepidium densiflorum,Great Smoky Mountains National Park,85
Amaranthus retroflexus,Great Smoky Mountains National Park,21
Mimulus breweri,Great Smoky Mountains National Park,64
Ursus arctos horribilis,Great Smoky Mountains National Park,50
Potentilla biennis,Great Smoky Mountains National Park,58
Brachydontium trichodes,Great Smoky Mountains National Park,59
Forsythia viridissima,Great Smoky Mountains National Park,94
Myosotis macrosperma,Great Smoky Mountains National Park,60
Fraxinus latifolia,Great Smoky Mountains National Park,79
Centaurea diffusa,Great Smoky Mountains National Park,104
Epilobium brachycarpum,Great Smoky Mountains National Park,57
Clethrionomys gapperi gapperi,Great Smoky Mountains National Park,98
Lysimachia fraseri,Great Smoky Mountains National Park,80
Digitaria ciliaris,Great Smoky Mountains National Park,87
Plagiobothrys torreyi var. diffusus,Great Smoky Mountains National Park,49
Veronica americana,Great Smoky Mountains National Park,33
Viola rotundifolia,Great Smoky Mountains National Park,100
Hypnum imponens,Great Smoky Mountains National Park,87
Viola porterana,Great Smoky Mountains National Park,76
Megaceryle alcyon,Great Smoky Mountains National Park,70
Carex praticola,Great Smoky Mountains National Park,23
Prenanthes altissima,Great Smoky Mountains National Park,81
Dichanthelium longiligulatum,Great Smoky Mountains National Park,76
Pylaisiella polyantha,Great Smoky Mountains National Park,126
Agrostis oregonensis,Great Smoky Mountains National Park,74
Clematis terniflora,Great Smoky Mountains National Park,54
Phragmites australis,Great Smoky Mountains National Park,103
Dicranum scoparium,Great Smoky Mountains National Park,82
Festuca brachyphylla ssp. breviculmis,Great Smoky Mountains National Park,65
Poa arida,Great Smoky Mountains National Park,36
Monolepis nuttalliana,Great Smoky Mountains National Park,116
Oenothera biennis,Great Smoky Mountains National Park,65
Chasmanthium laxum,Great Smoky Mountains National Park,64
Potamogeton diversifolius,Great Smoky Mountains National Park,73
Epilobium latifolium,Great Smoky Mountains National Park,73
Epilobium ciliatum,Great Smoky Mountains National Park,79
Bromus inermis var. pumpellianus,Great Smoky Mountains National Park,43
Frasera caroliniensis,Great Smoky Mountains National Park,62
Rhizomnium magnifolium,Great Smoky Mountains National Park,37
Sisyrinchium montanum,Great Smoky Mountains National Park,57
Downingia montana,Great Smoky Mountains National Park,64
Platanthera ciliaris,Great Smoky Mountains National Park,52
Hypericum anagalloides,Great Smoky Mountains National Park,92
Angelica triquinata,Great Smoky Mountains National Park,65
Ptychomitrium incurvum,Great Smoky Mountains National Park,59
Saxifraga odontoloma,Great Smoky Mountains National Park,78
Polygonum persicaria,Great Smoky Mountains National Park,73
Thomomys bottae,Great Smoky Mountains National Park,83
Capsella bursa-pastoris,Great Smoky Mountains National Park,62
Lophocolea appalachiana,Great Smoky Mountains National Park,91
Oenothera elata ssp. hirsutissima,Great Smoky Mountains National Park,69
Calypogeja sphagnicola,Great Smoky Mountains National Park,101
Galium bifolium,Great Smoky Mountains National Park,65
Ditrichum pusillum,Great Smoky Mountains National Park,98
Ranunculus eschscholtzii var. eschscholtzii,Great Smoky Mountains National Park,90
Vaccinium parvifolium,Great Smoky Mountains National Park,89
Malaxis unifolia,Great Smoky Mountains National Park,56
Protonotaria citrea,Great Smoky Mountains National Park,32
Silene vulgaris,Great Smoky Mountains National Park,36
Bartonia virginica,Great Smoky Mountains National Park,80
Goodyera oblongifolia,Great Smoky Mountains National Park,46
Solanum americanum,Great Smoky Mountains National Park,64
Pituophis melanoleucus melanoleucus,Great Smoky Mountains National Park,73
Carex lenticularis var. impressa,Great Smoky Mountains National Park,106
Gilia leptalea ssp. bicolor,Great Smoky Mountains National Park,55
Polygonatum biflorum,Great Smoky Mountains National Park,70
Narthecium californicum,Great Smoky Mountains National Park,55
Cyrto-hypnum pygmaeum,Great Smoky Mountains National Park,88
Thalictrum clavatum,Great Smoky Mountains National Park,18
Pyrrhopappus carolinianus,Great Smoky Mountains National Park,106
Dulichium arundinaceum,Great Smoky Mountains National Park,72
Potamogeton pusillus var. tenuissimus,Great Smoky Mountains National Park,101
Streptopelia decaocto,Great Smoky Mountains National Park,110
Spizella atrogularis,Great Smoky Mountains National Park,87
Juncus macrandrus,Great Smoky Mountains National Park,88
Salix lasiolepis,Great Smoky Mountains National Park,80
Quercus marilandica,Great Smoky Mountains National Park,83
Lycopodium tristachyum,Great Smoky Mountains National Park,90
Pycnanthemum incanum,Great Smoky Mountains National Park,70
Hypericum pseudomaculatum,Great Smoky Mountains National Park,71
Bromus ciliatus,Great Smoky Mountains National Park,72
Panicum capillare,Great Smoky Mountains National Park,58
Gilia leptalea ssp. leptalea,Great Smoky Mountains National Park,73
Schedonnardus paniculatus,Great Smoky Mountains National Park,76
Lindernia dubia,Great Smoky Mountains National Park,45
Potentilla pensylvanica,Great Smoky Mountains National Park,72
Lemna valdiviana,Great Smoky Mountains National Park,104
Asarum canadense,Great Smoky Mountains National Park,99
Crataegus pinetorum,Great Smoky Mountains National Park,77
Smelowskia calycina var. americana,Great Smoky Mountains National Park,91
Piperia colemanii,Great Smoky Mountains National Park,60
Sorbus aucuparia,Great Smoky Mountains National Park,89
Amelanchier arborea,Great Smoky Mountains National Park,63
Vireo flavifrons,Great Smoky Mountains National Park,86
Rana luteiventris,Great Smoky Mountains National Park,47
Myiarchus cinerascens,Great Smoky Mountains National Park,54
Mnium stellare,Great Smoky Mountains National Park,77
Melilotus albus,Great Smoky Mountains National Park,77
Thalictrum fendleri,Great Smoky Mountains National Park,70
Choenomeles speciosa,Great Smoky Mountains National Park,59
Phoradendron leucarpum,Great Smoky Mountains National Park,49
Bromus hordeaceus,Great Smoky Mountains National Park,83
Cardellina pusilla,Great Smoky Mountains National Park,62
Potentilla nivea,Great Smoky Mountains National Park,75
Medicago lupulina,Great Smoky Mountains National Park,114
Rotala ramosior,Great Smoky Mountains National Park,45
Dendroica caerulescens,Great Smoky Mountains National Park,84
Arnica amplexicaulis,Great Smoky Mountains National Park,50
Batrachoseps gregarius,Great Smoky Mountains National Park,39
Carex spectabilis,Great Smoky Mountains National Park,86
Picea rubens,Great Smoky Mountains National Park,87
Mimulus viscidus,Great Smoky Mountains National Park,97
Podiceps auritus,Great Smoky Mountains National Park,59
Anomodon minor,Great Smoky Mountains National Park,65
Scrophularia marilandica,Great Smoky Mountains National Park,54
Tringa semipalmata,Great Smoky Mountains National Park,74
Polygonum caespitosum var. longisetum,Great Smoky Mountains National Park,62
Cryptantha humilis,Great Smoky Mountains National Park,69
Pseudotsuga menziesii var. glauca,Great Smoky Mountains National Park,78
Streptanthus diversifolius,Great Smoky Mountains National Park,58
Aureolaria virginica,Great Smoky Mountains National Park,52
Pohlia nutans,Great Smoky Mountains National Park,76
Stelgidopteryx serripennis,Great Smoky Mountains National Park,117
Bromus diandrus,Great Smoky Mountains National Park,52
Lespedeza frutescens,Great Smoky Mountains National Park,100
Saxifraga michauxii,Great Smoky Mountains National Park,58
Histrionicus histrionicus,Great Smoky Mountains National Park,66
Triteleia dudleyi,Great Smoky Mountains National Park,37
Linanthus bicolor,Great Smoky Mountains National Park,37
Carex louisianica,Great Smoky Mountains National Park,37
Elsholtzia ciliata,Great Smoky Mountains National Park,53
Glechoma hederacea,Great Smoky Mountains National Park,107
Populus X acuminata,Great Smoky Mountains National Park,54
Rosa bridgesii,Great Smoky Mountains National Park,53
Carex cherokeensis,Great Smoky Mountains National Park,39
Spiranthes ochroleuca,Great Smoky Mountains National Park,92
Medicago sativa,Great Smoky Mountains National Park,87
Calamospiza melanocorys,Great Smoky Mountains National Park,44
Thryomanes bewickii,Great Smoky Mountains National Park,86
Oligoneuron rigidum var. rigidum,Great Smoky Mountains National Park,62
Alisma subcordatum,Great Smoky Mountains National Park,69
Aimophila aestivalis,Great Smoky Mountains National Park,49
Xanthocephalus xanthocephalus,Great Smoky Mountains National Park,83
Astragalus kentrophyta var. danaus,Great Smoky Mountains National Park,65
Brachythecium rutabulum,Great Smoky Mountains National Park,57
Brachythecium plumosum,Great Smoky Mountains National Park,92
Ribes cynosbati,Great Smoky Mountains National Park,59
Carex annectens,Great Smoky Mountains National Park,77
Aphelocoma californica,Great Smoky Mountains National Park,61
Astragalus purshii var. lectulus,Great Smoky Mountains National Park,44
Pectocarya pusilla,Great Smoky Mountains National Park,84
Chaerophyllum tainturieri var. tainturieri,Great Smoky Mountains National Park,65
Viola labradorica,Great Smoky Mountains National Park,71
Oncorhynchus mykiss,Great Smoky Mountains National Park,39
Lotus corniculatus,Great Smoky Mountains National Park,70
Sedum acre,Great Smoky Mountains National Park,74
Trillium vaseyi,Great Smoky Mountains National Park,77
Eupatorium purpureum,Great Smoky Mountains National Park,65
Menispermum canadense,Great Smoky Mountains National Park,93
Tridens flavus,Great Smoky Mountains National Park,39
Amaranthus californicus,Great Smoky Mountains National Park,103
Danthonia spicata,Great Smoky Mountains National Park,103
Rudbeckia fulgida,Great Smoky Mountains National Park,79
Vulpia myuros,Great Smoky Mountains National Park,52
Euphorbia cyparissias,Great Smoky Mountains National Park,104
Notothylas orbicularis,Great Smoky Mountains National Park,61
Cryptantha celosioides,Great Smoky Mountains National Park,54
Phlox maculata ssp. pyramidalis,Great Smoky Mountains National Park,73
Rosa pinetorum,Great Smoky Mountains National Park,73
Catabrosa aquatica,Great Smoky Mountains National Park,88
Trichomanes intricatum,Great Smoky Mountains National Park,92
Orogenia linearifolia,Great Smoky Mountains National Park,64
Pohlia lescuriana,Great Smoky Mountains National Park,40
Trichostema dichotomum,Great Smoky Mountains National Park,63
Vulpia bromoides,Great Smoky Mountains National Park,81
Pseudotriton montanus diastictus,Great Smoky Mountains National Park,190
Isoetes bolanderi,Great Smoky Mountains National Park,72
Monardella sheltonii,Great Smoky Mountains National Park,120
Ranunculus orthorhynchus var. orthorhynchus,Great Smoky Mountains National Park,48
Phyllanthus caroliniensis,Great Smoky Mountains National Park,102
Eurycea guttolineata,Great Smoky Mountains National Park,49
Asclepias amplexicaulis,Great Smoky Mountains National Park,77
Tilia americana var. americana,Great Smoky Mountains National Park,49
Packera paupercula,Great Smoky Mountains National Park,75
Leptodontium flexifolium,Great Smoky Mountains National Park,102
Colaptes auratus,Great Smoky Mountains National Park,94
Lepechinia calycina,Great Smoky Mountains National Park,65
Anolis carolinensis carolinensis,Great Smoky Mountains National Park,102
Aythya marila,Great Smoky Mountains National Park,101
Cheilanthes tomentosa,Great Smoky Mountains National Park,50
Centrosema virginianum,Great Smoky Mountains National Park,45
Castilleja densiflora ssp. densiflora,Great Smoky Mountains National Park,59
Calidris bairdii,Great Smoky Mountains National Park,59
Crataegus intricata,Great Smoky Mountains National Park,98
Panicum rigidulum var. pubescens,Great Smoky Mountains National Park,85
Hookeria acutifolia,Great Smoky Mountains National Park,76
Scirpus atrovirens,Great Smoky Mountains National Park,49
Danthonia epilis,Great Smoky Mountains National Park,95
Pinus lambertiana,Great Smoky Mountains National Park,88
Collinsia tinctoria,Great Smoky Mountains National Park,78
Polygonum cilinode,Great Smoky Mountains National Park,83
Linum striatum,Great Smoky Mountains National Park,88
Diphyscium foliosum,Great Smoky Mountains National Park,36
Lonicera fragrantissima,Great Smoky Mountains National Park,62
Iris hartwegii ssp. hartwegii,Great Smoky Mountains National Park,82
Pandion haliaetus,Great Smoky Mountains National Park,80
Luxilus cornutus,Great Smoky Mountains National Park,77
Helianthus hirsutus,Great Smoky Mountains National Park,71
Ranunculus macounii,Great Smoky Mountains National Park,96
Chenopodium ambrosioides,Great Smoky Mountains National Park,112
Ceanothus parvifolius,Great Smoky Mountains National Park,74
Schizachyrium scoparium var. scoparium,Great Smoky Mountains National Park,71
Sturnella neglecta,Great Smoky Mountains National Park,108
Quercus X saulii,Great Smoky Mountains National Park,94
Clintonia uniflora,Great Smoky Mountains National Park,73
Nemophila pedunculata,Great Smoky Mountains National Park,100
Cyperus retrorsus,Great Smoky Mountains National Park,63
Saxifraga californica,Great Smoky Mountains National Park,81
